yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20010131,0,0,1,0,0,0,0,0,0,0,0,0,0
20010201,0,0,1,1,0,0,0,0,0,0,0,0,0
20010202,0,0,1,1,0,0,0,0,0,0,0,0,0
20010203,0,0,0,0,0,0,0,0,0,0,0,0,0
20010204,0,1,0,0,0,0,0,0,0,0,0,0,0
20010205,0,0,0,0,0,0,0,0,0,0,0,0,0
20010206,0,0,0,0,0,0,0,0,0,0,0,0,0
20010207,0,1,1,1,0,0,0,0,0,0,0,0,0
20010208,0,0,1,1,0,0,0,0,0,0,0,0,0
20010209,0,0,1,1,0,0,0,0,0,0,0,0,0
20010210,0,1,1,1,0,0,0,0,0,0,0,0,0
20010211,0,0,0,0,0,0,0,0,0,0,0,0,0
20010212,0,0,0,0,0,0,0,0,0,0,0,0,0
20010213,0,1,0,0,0,0,0,0,0,0,0,0,0
20010214,0,0,1,1,0,0,0,0,0,0,0,0,0
20010215,0,0,1,1,0,0,0,0,0,0,0,0,0
20010216,0,0,1,1,0,0,0,0,0,0,0,0,1
20010217,0,0,0,0,0,0,0,0,0,0,0,0,1
20010218,0,0,0,0,0,0,0,0,0,0,0,0,1
20010219,0,0,1,0,0,0,0,0,0,0,0,0,1
20010220,0,0,0,0,0,0,0,0,0,0,0,0,1
20010221,0,0,0,0,0,0,0,0,0,0,0,1,1
20010222,0,0,0,0,0,0,0,0,0,0,0,1,1
20010223,0,0,0,0,0,0,0,0,0,0,0,0,0
20010224,0,1,1,1,0,0,0,0,0,0,0,0,0
20010225,0,0,1,1,0,0,0,0,0,0,0,0,0
20010226,0,0,0,0,0,0,0,0,0,0,0,0,0
20010227,0,0,0,0,0,0,0,0,0,0,0,0,0
20010228,0,1,0,0,0,0,0,0,0,0,0,0,0
20010301,0,0,1,0,0,0,0,0,0,0,0,0,0
20010302,0,0,0,0,0,0,0,0,0,0,0,0,0
20010303,0,0,0,0,0,0,0,0,0,0,0,0,0
20010304,0,0,0,0,0,0,0,0,0,0,0,0,0
20010305,0,0,0,0,0,0,0,0,0,0,0,0,0
20010306,0,0,0,0,0,0,0,0,0,0,0,0,0
20010307,0,1,1,1,0,0,0,0,0,0,0,0,0
20010308,0,0,1,1,0,0,0,0,0,0,0,0,0
20010309,0,0,0,0,0,0,0,0,0,0,0,0,0
20010310,0,0,0,0,0,0,0,0,0,0,0,0,0
20010311,0,1,0,0,0,0,0,0,0,0,0,0,0
20010312,0,0,1,1,0,0,0,0,0,0,0,0,0
20010313,0,0,0,0,0,0,0,0,0,0,0,0,0
20010314,0,0,0,0,0,0,0,0,0,0,0,0,0
20010315,0,0,1,0,0,0,0,0,0,0,0,0,0
20010316,0,0,0,0,0,0,0,0,0,0,0,0,0
20010317,0,1,1,0,0,0,0,0,0,0,0,0,0
20010318,0,1,1,0,0,0,0,0,0,0,0,0,0
20010319,0,0,0,0,0,0,0,0,0,0,0,0,0
20010320,0,1,0,0,0,0,0,0,0,0,0,0,0
20010321,0,1,0,0,0,0,0,0,0,0,0,0,0
20010322,0,0,0,0,0,0,0,0,0,0,0,0,0
20010323,0,0,0,0,0,0,0,0,0,0,0,0,0
20010324,0,0,0,0,0,0,0,0,0,0,0,0,0
20010325,0,1,1,1,0,0,0,0,0,0,0,0,0
20010326,0,1,1,0,0,0,0,0,0,0,0,0,0
20010327,0,1,0,0,0,0,0,0,0,0,0,0,0
20010328,0,0,1,1,0,0,0,0,0,0,0,0,0
20010329,0,0,1,0,0,0,0,0,0,0,0,0,0
